column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	92795549	2	40	3468534864	37.38	37	39	39	2	34	40	24536856	22523314	18519564	27209176	6639	92795549
2	92795549	2	40	3441238694	37.08	37	39	39	2	34	40	31894381	18649892	18274215	23976597	464	92795549
3	92795549	2	40	3438947032	37.06	37	39	39	2	34	40	25815506	18452912	17707763	30810422	8946	92795549
4	92795549	2	40	3436361818	37.03	37	39	39	2	34	40	24420568	24523520	17451964	26399477	20	92795549
5	92795549	2	40	3435582266	37.02	37	39	39	2	34	40	24788631	17127268	23727931	27151719	0	92795549
6	92795549	2	40	3440176935	37.07	37	39	39	2	34	40	25209123	18763505	24234937	24576314	11670	92795549
7	92795549	2	40	3431622130	36.98	37	39	39	2	34	40	30838570	17245503	18725248	25985831	397	92795549
8	92795549	2	40	3435350492	37.02	37	39	39	2	34	40	31193032	18150659	18401296	25050562	0	92795549
9	92795549	2	40	3434541198	37.01	37	39	39	2	34	40	24524484	18700522	23599155	25971388	0	92795549
10	92795549	2	40	3423513227	36.89	37	39	39	2	34	40	31180128	18907143	18138818	24569460	0	92795549
11	92795549	2	40	3404416647	36.69	36	38	39	3	32	40	24674009	19000391	24135210	24985939	0	92795549
12	92795549	2	40	3394944309	36.59	36	38	39	3	32	40	24784644	24881882	18138028	24990995	0	92795549
13	92795549	2	40	3391995606	36.55	36	38	39	3	32	40	25032567	18694288	24093549	24975145	0	92795549
14	92795549	2	40	3383186182	36.46	36	38	39	3	32	40	25090370	18655358	24128835	24920968	18	92795549
15	92795549	2	40	3357019589	36.18	36	38	39	3	32	40	25081439	18621977	18048620	31043513	0	92795549
16	92795549	2	40	3366792219	36.28	36	38	39	3	32	40	24994498	18525094	18270354	31005602	1	92795549
17	92795549	2	40	3356377947	36.17	36	38	39	3	32	40	24808782	24852099	18008470	25126198	0	92795549
18	92795549	2	40	3347852950	36.08	36	38	39	3	32	40	30919522	18842771	18002556	25030700	0	92795549
19	92795549	2	40	3338067981	35.97	36	38	39	3	32	40	24915025	18568523	24298370	25013631	0	92795549
20	92795549	2	40	3326637490	35.85	35	38	39	4	29	40	25042310	24619175	18232990	24901074	0	92795549
21	92795549	2	40	3306366355	35.63	35	38	39	4	29	40	30937329	18604431	18295612	24958177	0	92795549
22	92795549	2	40	3288120606	35.43	35	37	39	4	29	40	25065249	18615186	24136330	24978784	0	92795549
23	92795549	2	40	3274655072	35.29	35	37	39	4	29	40	24797450	18610862	24107841	25278648	748	92795549
24	92795549	2	40	3249346947	35.02	35	37	39	4	29	40	30777282	18805635	18215868	24996582	182	92795549
25	92795549	2	40	3245199548	34.97	35	37	39	4	29	40	30824874	18621403	18361824	24986630	818	92795549
26	92795549	2	40	3186853503	34.34	34	37	38	4	28	40	24861142	18594468	18400023	30938692	1224	92795549
27	92795549	2	40	3172906614	34.19	34	37	38	4	28	40	24990415	18552741	24214698	25037561	134	92795549
28	92795549	2	40	3154444669	33.99	33	36	38	5	26	40	25104914	24488683	18275931	24925330	691	92795549
29	92795549	2	40	3152857448	33.98	33	36	38	5	26	40	24804287	24497112	18558136	24935898	116	92795549
30	92795549	2	40	3135636519	33.79	33	36	38	5	26	40	25140113	18607176	24104290	24936411	7559	92795549
31	92795549	2	40	3118220435	33.60	33	36	38	5	26	40	30604585	18574319	18569240	25023496	23909	92795549
32	92795549	2	40	3093535454	33.34	33	36	38	5	26	40	24893048	18794148	24144198	24918691	45464	92795549
33	92795549	2	40	3074280185	33.13	33	36	38	5	26	40	30633117	18585475	18518876	25026802	31279	92795549
34	92795549	2	40	3047754319	32.84	33	36	37	4	27	40	24834757	18665232	19344110	29918308	33142	92795549
35	92795549	2	40	3025258684	32.60	32	36	37	5	25	40	25680429	23623942	18324825	25108954	57399	92795549
36	92795549	2	40	2954606270	31.84	31	35	37	6	22	40	24841325	18584994	23328880	25953366	86984	92795549
37	92795549	2	40	2929079918	31.56	31	35	37	6	22	40	24939177	19539963	23313714	24892606	110089	92795549
38	92795549	2	40	2898894892	31.24	31	35	37	6	22	40	30001514	18553243	19201971	24929013	109808	92795549
39	92795549	2	40	2887672543	31.12	31	35	37	6	22	40	29814269	18637204	19409772	24845972	88332	92795549
40	92795549	2	40	2823857691	30.43	30	35	37	7	20	40	25506623	18910147	23354471	24958249	66059	92795549
41	92795549	2	40	2774352778	29.90	29	34	36	7	19	40	30813742	18586771	18454474	24890207	50355	92795549
42	92795549	2	40	2754172367	29.68	29	34	36	7	19	40	24819548	18653318	24467705	24802444	52534	92795549
43	92795549	2	40	2731547161	29.44	28	34	36	8	16	40	25561194	23580370	18645815	24939846	68324	92795549
44	92795549	2	40	2701902968	29.12	28	33	36	8	16	40	25013750	18602296	24225415	24893506	60582	92795549
45	92795549	2	40	2675007123	28.83	28	33	36	8	16	40	24994267	19386392	23346472	25041474	26944	92795549
46	92795549	2	40	2594044572	27.95	26	33	36	10	11	40	25034287	18824101	19841227	29077522	18412	92795549
47	92795549	2	40	2602775127	28.05	27	33	36	9	14	40	24776800	18656476	19428874	29921271	12128	92795549
48	92795549	2	40	2568936796	27.68	26	33	36	10	11	40	24944418	23942892	18431701	25466613	9925	92795549
49	92795549	2	40	2554643670	27.53	26	33	35	9	13	40	29761019	18863710	18477906	25692682	232	92795549
50	92795549	2	40	2743488119	29.56	30	35	37	7	20	40	24782427	19492401	23647355	24873199	167	92795549
